asn_org,unique_ips,provider_count,asn_count,country_count,top_providers
LEASEWEB-NL-AMS-01 Netherlands,50,14,1,1,Anonine (10); BoxPN (10); EasyHideIP (10); FrootVPN (10); VPN.ac (9); IVPN (7); SwitchVPN (5); WiTopia (5); Astrill (3); HideIPVPN (3)
LIMESTONENETWORKS,49,9,1,1,TunnelBear (16); PureVPN (11); Astrill (10); Sentinel dVPN (4); ExpressVPN (3); ProtonVPN (2); VPN Unlimited (2); Ivacy (1); Private Internet Access (1)
NTT-GLOBAL-DATA-CENTERS-AMERICA-INC,46,1,1,1,WiTopia (46)
BASEIP-LAX,44,1,1,1,Privado (44)
OWL Owl Limited,44,2,1,1,Mullvad (42); AzireVPN (2)
SITEHOST-AS-AP SiteHost New Zealand,44,2,1,1,AirVPN (24); TunnelBear (20)
LEASEWEB-USA-LAX,43,5,1,1,WiTopia (25); Astrill (14); VPN Unlimited (2); Le VPN (1); OysterVPN (1)
RIXHOST,43,3,1,1,AirVPN (32); Windscribe (6); WiTopia (5)
"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",41,3,1,2,VPN Jantit (22); Sentinel dVPN (17); WorldVPN (2)
VELIANET-AS velia.net Internetdienste GmbH,41,5,1,1,Astrill (16); CyberGhost (13); Sentinel dVPN (7); ExpressVPN (4); NetShade (1)
HINET Data Communication Business Group,40,4,1,1,Astrill (28); Windscribe (6); Sentinel dVPN (4); FlowVPN (2)
PVDATANET,39,1,1,9,PrivateVPN (39)
HERNLABS,38,1,1,1,Opera VPN (38)
PARAD-40-ASN,38,2,1,1,Giganews (19); VyprVPN (19)
WII,36,4,1,1,Astrill (31); CactusVPN (2); Sentinel dVPN (2); VPNUK (1)
MASSIVEGRID,35,2,1,1,Sentinel dVPN (34); VPN Jantit (1)
MELBICOM-EU-AS Melbikomas UAB,35,7,2,2,Astrill (19); PureVPN (8); FlowVPN (2); Ivacy (2); Sentinel dVPN (2); BTGuard (1); Zoogvpn (1)
LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED,34,11,1,1,TunnelBear (16); Astrill (6); VPN.ac (3); IVPN (2); CactusVPN (1); OysterVPN (1); Proxpn (1); Safervpn (1); Sentinel dVPN (1); VPNSecure (1)
HR-CUSTOMER,33,5,1,3,NordVPN (16); IPVanish (6); WLVPN (6); Surfshark (3); Mullvad (2)
BANDWIDTH-ASIA,31,2,1,1,NordVPN (30); FastestVPN (1)
LEASEWEB-USA-NYC,31,2,1,1,WiTopia (25); Astrill (6)
NAMECHEAP-NET,31,1,1,1,Astrill (31)
GTT-BACKBONE GTT,30,4,1,2,CyberGhost (12); NordVPN (12); Astrill (4); Private Internet Access (2)
KAOPU-HK Kaopu Cloud HK Limited,30,7,1,10,OysterVPN (8); VPN Jantit (8); Zoogvpn (6); FlowVPN (3); Sentinel dVPN (3); CactusVPN (1); Le VPN (1)
AS56971 AS56971 Cloud,29,2,1,2,Sentinel dVPN (19); WorldVPN (10)
Data Miners S.A.  Racknation.cr,29,9,1,1,IPVanish (10); WLVPN (10); Anonine (5); BoxPN (5); EasyHideIP (5); FrootVPN (5); StrongVPN (2); FlowVPN (1); Sentinel dVPN (1)
BASEIP,28,1,1,1,Privado (28)
BLIX,28,4,1,1,Mullvad (23); AzireVPN (2); PrivateVPN (2); SwitchVPN (1)
ESECUREDATA,28,11,1,1,WiTopia (10); Anonine (7); BoxPN (7); EasyHideIP (7); FrootVPN (7); VPN Unlimited (5); Trust.Zone (2); VPN.ac (2); Froot (1); PrivateVPN (1)
KIXS-AS-KR Korea Telecom,26,4,1,1,VPN Gate (18); Astrill (4); FlowVPN (2); Sentinel dVPN (2)
LEASEWEB-USA-CHI,25,2,1,1,WiTopia (20); Astrill (5)
PILOT,25,2,1,1,VPN Unlimited (20); Hotspotshield (5)
BINBOX-GLOBAL-SERVICES,24,1,1,1,CyberGhost (24)
EDIS-AS-EU,24,8,1,4,GhostPath (7); Safervpn (5); Astrill (4); Le VPN (4); FlowVPN (2); SlickVPN (1); Smartdnsproxy (1); SwitchVPN (1)
GCS-AS,24,3,1,1,VPN Jantit (18); Kompot VPN (4); FlowVPN (2)
LEASEWEB-USA-SEA,24,5,1,1,WiTopia (10); Astrill (6); VPN Unlimited (3); VPN.ac (3); Cryptostorm (2)
MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,24,10,1,1,Anonine (11); BoxPN (11); EasyHideIP (11); FrootVPN (11); VPN Unlimited (4); Cryptostorm (2); FastestVPN (2); Sentinel dVPN (2); Zoogvpn (2); VPNUK (1)
VNPT-AS-VN VNPT Corp,24,3,1,1,Sentinel dVPN (10); FlowVPN (8); Windscribe (6)
DELUXHOST,23,3,1,2,Sentinel dVPN (21); FreeVPN (1); KevinVPN (1)
EGIHOSTING,23,2,1,1,Astrill (19); WiTopia (4)
GIGABIT-MY Gigabit Hosting Sdn Bhd,23,5,1,1,AirVPN (8); Astrill (6); WiTopia (5); IVPN (3); SwitchVPN (1)
HQSERV_NETWORKS,23,9,1,1,Anonine (10); BoxPN (10); EasyHideIP (10); FrootVPN (10); Windscribe (6); IVPN (2); RedShield VPN (2); TorGuard (2); Zoogvpn (1)
EHOSTIDC-AS-KR Hostcenter,22,11,1,1,Astrill (6); Anonine (5); BoxPN (5); EasyHideIP (5); FrootVPN (5); WiTopia (5); FlowVPN (2); FastestVPN (1); Surfshark (1); SwitchVPN (1)
LEASEWEB-USA-DAL,22,3,1,1,WiTopia (15); Astrill (5); Cryptostorm (2)
ON2644819-NET,22,1,1,1,Psiphon (22)
PROTONVPN,22,1,1,1,ProtonVPN (22)
XTOM-AS-JP xTom,22,3,1,1,IPVanish (10); WLVPN (10); ProtonVPN (2)
DIGITURUNC,21,2,1,1,WiTopia (20); Astrill (1)
GREENFLOID-AS,21,3,1,2,WorldVPN (14); VPN Jantit (6); AnonymousVPN (1)
H4Y-TECHNOLOGIES,21,4,1,1,Windscribe (12); WiTopia (5); Cryptostorm (2); GhostPath (2)
PERFORMIVE,21,5,1,1,Astrill (8); Windscribe (6); ProtonVPN (4); TorGuard (2); StrongVPN (1)
SONDATECH S.A.S.,21,1,1,1,Windscribe (21)
AMAZON-02,20,2,1,1,Perimeter81 (16); FlowVPN (4)
ASSEFLOW,20,9,1,1,SwitchVPN (5); Astrill (4); WiTopia (4); VPNUK (2); AnonymousVPN (1); OVPN (1); Smartdnsproxy (1); TunnelBear (1); Zoogvpn (1)
AXCELX-NET,20,4,1,1,WiTopia (10); Windscribe (9); GhostPath (1); SlickVPN (1)
GCORE,20,7,1,3,PureVPN (8); PrivateVPN (3); CactusVPN (2); FlowVPN (2); Ivacy (2); VPN Jantit (2); IVPN (1)
ASN-GIGENET,19,3,1,1,Astrill (12); Sentinel dVPN (5); KevinVPN (2)
ASN-VO Visual Online S.A. Luxembourg,18,5,1,1,Anonine (14); BoxPN (14); EasyHideIP (14); FrootVPN (14); Astrill (4)
CWCS-VM CompuWeb Communications Services Ltd,18,1,1,1,VPNUK (18)
DARTNODE,18,3,1,1,Sentinel dVPN (15); KevinVPN (2); FreeVPN (1)
DATAFOREST,18,2,1,1,Vpnht (15); Sentinel dVPN (3)
FREE RANGE CLOUD,18,2,1,1,Windscribe (16); FlowVPN (2)
GRANSY Gransy s.r.o. gransy.com,18,1,1,1,SSHMax (18)
LEASEWEB-DE-FRA-10,18,4,1,1,VPN.ac (8); Astrill (7); IVPN (2); VPNUK (1)
NOCIX,18,8,1,1,WiTopia (8); Astrill (3); Sentinel dVPN (2); VPNUK (2); FlowVPN (1); GhostPath (1); Hide.me (1); SlickVPN (1)
PROTONVPN-2,18,1,1,1,ProtonVPN (18)
WITOPIA-AS1,18,1,1,1,WiTopia (18)
FORTIS-AS Hosting services,17,2,1,2,VPN Jantit (16); FreeVPN (1)
GIGAHOST,17,6,1,1,TorGuard (11); Anonine (5); BoxPN (5); EasyHideIP (5); FrootVPN (5); GhostPath (1)
INTERNETBOLAGET,17,1,1,1,NordVPN (17)
NETMINDERS,17,4,1,1,VPN.ac (6); PureVPN (5); Astrill (4); SwitchVPN (2)
PERFECT-INTERNATIONAL,17,2,1,1,Astrill (16); FlowVPN (1)
RELIABLESITE,17,5,1,1,Kompot VPN (8); Astrill (5); GhostPath (2); RedShield VPN (2); SlickVPN (1)
TELEKS-,17,4,1,1,CyberGhost (10); Windscribe (3); NordVPN (2); Private Internet Access (2)
AMC,16,1,1,1,TunnelBear (16)
SOFTETHER-AMERICA,16,1,1,1,VPN Gate (16)
TELE-AS Tele Asia Limited,16,6,1,1,SwitchVPN (10); Anonine (5); BoxPN (5); EasyHideIP (5); FrootVPN (5); CactusVPN (1)
"TWELVE99 Arelion, fka Telia Carrier",16,3,1,3,PrivateVPN (11); AzireVPN (4); AnonymousVPN (1)
ANL-36,15,1,1,1,Sentinel dVPN (15)
ARTNET,15,7,1,1,Anonine (9); BoxPN (9); EasyHideIP (9); FrootVPN (9); Windscribe (3); Surfshark (2); Trust.Zone (1)
DEHOST-INTERNET-VE-BILISIM-TEKNOLOJILERI-SAN-TIC-LTD-STI DEHOST INTERNET VE BILISIM TEKNOLOJILERI SANAYI TICARET LIMITED SIRKETI,15,1,1,1,Sentinel dVPN (15)
FSNET-1,15,5,1,1,BoxPN (15); Anonine (14); EasyHideIP (14); FrootVPN (14); Froot (3)
GORILLASERVERS,15,2,1,1,Astrill (14); FlowVPN (1)
GTCOMM,15,9,1,1,FrootVPN (5); Anonine (4); BoxPN (4); EasyHideIP (4); SmartVPN (3); Trust.Zone (3); Astrill (2); GhostPath (2); Froot (1)
GTS-BACKBONE GTS Telecom,15,1,1,1,CyberGhost (15)
IDNIC-ATHARVA-AS-ID PT Atharva Telematika Persada,15,1,1,1,Windscribe (15)
KEYUBU,15,1,1,1,Sentinel dVPN (15)
LINVEO-LLC,15,2,1,1,Sentinel dVPN (11); KevinVPN (4)
MADCOM-ASN,15,3,1,1,NordVPN (7); Windscribe (6); Astrill (2)
NETVAY,15,1,1,1,Sentinel dVPN (15)
SOLID,15,2,1,1,Sentinel dVPN (11); KevinVPN (4)
VELOXSERV,15,4,1,2,FastestVPN (5); Mullvad (4); Sentinel dVPN (4); AzireVPN (2)
XTOM-JAPAN xTom Japan Corporation,15,3,1,1,Astrill (11); ProtonVPN (2); Sentinel dVPN (2)
24SHELLS,13,1,1,1,Astrill (13)
GHOST,13,7,1,2,Le VPN (5); AnonymousVPN (2); Smartdnsproxy (2); KevinVPN (1); PrivateVPN (1); VPN Jantit (1); uVPN (1)
LEAPSWITCH-IN-AS-AP LEAPSWITCH NETWORKS PRIVATE LIMITED,13,3,1,1,Windscribe (6); WiTopia (5); Astrill (2)
PONYNET,13,3,1,3,FreeVPN (10); FlowVPN (2); VPN Jantit (1)
SERVERS-COM,13,6,1,2,ProtonVPN (5); WiTopia (4); GhostPath (1); HideIPVPN (1); PrivateVPN (1); SwitchVPN (1)
SUPERNET-UK,13,1,1,1,Astrill (13)
TIER-NET,13,3,1,1,Astrill (6); Surfshark (6); GhostPath (1)
UNMANAGED-DEDICATED-SERVERS,13,1,1,1,Sentinel dVPN (13)
